process_1,process_2,process_3,process_4,Size,Wastewater,COD,NH3N,TN,TP,Cr,Cr6,HWsum
0,1,1,1,2,26000,0.308,0.009,0.058,0.783125176,0.322326063,0.322326063,512.43
1,1,1,1,1,1293541,80.216,18.1,18.1,0,0,0,121156.35
0,1,0,1,3,36000,2.25,0,0,0,0,0,867
1,0,1,1,3,17264.94488,0,0,0,0,0,0,2650
0,0,0,1,2,338830.1033,27.15100272,3.411952152,6.129279511,10.20563016,4.200529735,4.200529735,5
1,0,0,0,3,8400,0.464,0.063,0.063,0,0.07280824,0.07280824,3
1,1,1,1,3,4500,0.44,0.06,0.06,0,0.039004414,0.039004414,3000
0,1,0,0,3,4000,0.19,0.003,0.003,0,0.034670591,0.034670591,8.85
1,1,0,1,3,14000,1.37,2,2,0,0.121347067,0.121347067,742
1,0,1,1,3,157160,10.12,1.257,1.257,0,1.362207506,1.362207506,2100
1,1,1,0,3,12960,0.22,0.03,0.03,0,0.112332714,0.112332714,6758.4
1,0,1,0,3,6420,2.772,0.182092911,0.340567287,0,0.055646298,0.055646298,15
1,1,1,1,2,384000,15.42,0.45,0.45,11.56615644,4.760508002,4.760508002,15917
1,1,0,1,2,1120000,94.8784,14.8,14.8,0.0336,13.88481501,13.88481501,94621
1,1,1,1,2,725000,13.0355,1.44,1.44,21.83714432,8.987938285,8.987938285,208256
1,1,1,0,3,17264.94488,0,0,0.915868448,0,0.149646459,0.149646459,286
1,1,0,0,3,426,2.2,0.1,0.25,0,0.003692418,0.003692418,91
1,0,1,1,2,25235.1,3,0.45,0.45,0.760086235,0.312843478,0.312843478,7805.7
1,1,1,1,2,780000,29.585,3.9402,5.6266,23.49375527,9.669781879,9.669781879,41162.945
0,1,1,1,3,8000,3.23,0.1,0.14,0,0.069341181,0.069341181,978.27
0,1,1,1,2,83567.552,8.022,1,1.43,2.517071302,1.036,1.036,28920.2
1,1,0,1,3,10668.705,0.5546,0.13,0.18,0,0.128,0.128,1018
0,1,1,1,3,200,0.01,0.004,0.004,0,0.00173353,0.00173353,985.8
1,1,0,1,2,338830.1033,0,3.411952152,6.129279511,10.20563016,4.200529735,4.200529735,1743
1,1,0,1,1,46800,3.19,0.654853615,0.654853615,0,0,0,24887
1,1,1,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,4500
1,1,1,0,3,9300,0.293,0.0678,0.1,0,0.080609123,0.080609123,4800
1,1,1,0,3,17192.48,0.929,0.487636875,0.912024341,0,0.149018359,0.149018359,354.8
1,1,1,0,3,14552.9,0.787,0.412769459,0.77200026,0,0.12613941,0.12613941,182.9
1,1,1,1,3,66859,1.41,1.896347345,3.54672714,0,0.579510255,0.579510255,2543.4
0,1,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,1.9
1,1,1,1,3,76145.2,1.61,2.159735381,4.039340215,0,0.659999764,0.659999764,2886.4
1,0,1,1,3,60359,1.27,1.711985363,3.201916024,0,0.523170545,0.523170545,2288
1,1,1,1,3,65002,1.37,1.843676545,3.448217257,0,0.563414433,0.563414433,2464
0,0,1,1,3,213.82,0.004,0.006064658,0.011342694,0,0.001853316,0.001853316,39.751
1,1,1,0,3,2333.56,0.047,0.066187653,0.123790374,0,0.020226476,0.020226476,102.2
1,0,1,1,3,2705,0.146,0.076722948,0.143494472,0,0.023445987,0.023445987,188.6
1,0,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,10.2
1,1,0,1,3,5119.8,0.144,0.145214842,0.271594454,0,0.044376622,0.044376622,20.8
1,0,1,0,3,1429.99,0.064,0.040559352,0.075857915,0,0.012394649,0.012394649,40.7
1,1,0,0,3,9331.14,0.505,0.264662687,0.494997046,0,0.080879034,0.080879034,117.3
0,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,51
1,0,1,0,3,324.8,0.007,0.009212426,0.017229946,0,0.002815252,0.002815252,14.2
0,1,0,1,3,3246,0.18,0.092067537,0.172193367,0,0.028135184,0.028135184,40.8
0,1,1,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,612
1,0,0,0,3,93.55,0.002,0.002653394,0.004962628,0,0.000810858,0.000810858,4.1
1,0,1,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,102
1,1,0,1,3,1233,0.067,0.03497205,0.065408016,0,0.01068721,0.01068721,54
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,274.09
1,1,0,1,3,6852.56,0.37,0.194361776,0.363513671,0,0.059395576,0.059395576,657
0,1,1,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,191.26
0,0,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,71.4
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,422.4
0,1,0,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,61.2
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,130.245
1,0,1,0,3,339.2,0.007,0.009620859,0.017993835,0,0.002940066,0.002940066,14.9
0,1,1,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,54.4
0,1,0,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,3.4
0,0,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,0.632
0,1,0,0,3,205.6,0.004,0.005831511,0.010906641,0,0.001782068,0.001782068,9
1,1,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,440
1,1,0,1,3,9694.4,0.522,0.274965969,0.514267213,0,0.2198,0.2198,1196.2
1,1,1,0,3,9575.7,0.518,0.271599235,0.507970431,0,0.082998794,0.082998794,120.4
0,1,1,0,3,8115,0.44,0.230168843,0.430483416,0,0.070337961,0.070337961,449.32
1,1,0,0,3,822.4,0.017,0.023326045,0.043626563,0,0.007128273,0.007128273,36
1,0,0,1,3,102.8,0.002,0.002915756,0.00545332,0,0.000891034,0.000891034,4.5
0,0,0,1,3,1521.44,0.031,0.043153184,0.080709142,0,0.013187306,0.013187306,66.6
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,242.4
1,0,0,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,25.5
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,195.63
0,1,1,1,3,4928.35,0.172,0.139784673,0.261438441,0,0.042717201,0.042717201,301.9
1,0,0,1,3,983.8,0.02,0.027903895,0.052188489,0,0.008527232,0.008527232,43.1
1,0,1,0,3,1178.03,0.064,0.033412915,0.062491975,0,0.010210749,0.010210749,25.2
1,0,0,1,3,4338.82,0.23,0.123063608,0.230165133,0,0.037607363,0.037607363,54.536
1,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,176
0,1,0,0,3,546.9,0.011,0.015511934,0.029011877,0,0.004740337,0.004740337,23.9
1,0,0,1,3,1100,0.059,0.03119972,0.05835265,0,0.009534412,0.009534412,10.12
0,1,1,1,3,668.2,0.014,0.018952412,0.035446583,0,0.005791722,0.005791722,29.3
0,1,0,1,3,205.6,0.004,0.005831511,0.010906641,0,0.001782068,0.001782068,9
1,0,0,1,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,38.36
0,1,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,60.93
0,1,1,1,3,104910,8.63,2.975602387,5.565251414,0,0.909322916,0.909322916,871
0,1,1,1,3,104247,14.382,2.956797464,5.53008068,0,0.903576265,0.903576265,1092
1,1,0,1,3,238950,25.79,6.777430085,12.67578711,0,2.071134408,2.071134408,1680
1,1,1,1,3,52763,1.113,0.17,0.24,0,0.457331093,0.457331093,2152.421
1,1,1,0,2,436205,21.2,1.4,2,13.13858143,5.407701544,5.407701544,21308.63
1,0,1,1,2,338830.1033,27.15100272,3.411952152,6.129279511,10.20563016,4.200529735,4.200529735,8943
1,1,1,1,2,176092,8.54,1.773211626,3.185422656,5.303926094,2.183040039,2.183040039,3806
1,1,1,1,3,13907,9.3,0.2,0.2,0,0.120540976,0.120540976,1588.3
1,1,1,1,2,190000,16.339,9.2862,10.6528,5.722837823,2.355459688,2.355459688,19177
0,1,0,1,2,147815,47.7,0.7,12.3,8.9,1.832485652,1.832485652,660
1,1,1,0,3,17264.94488,2.031547164,0.489692224,0.915868448,0,0.149646459,0.149646459,143
0,0,1,0,3,17264.94488,0,0.489692224,0.915868448,0,0.149646459,0.149646459,13.78
1,1,1,1,3,99000,16.32,2.8079748,5.251738537,0,0.858097118,0.858097118,8820
0,1,1,1,2,8580,1.32,0.08,0.08,0.258431308,0.106367601,0.106367601,759.2
1,1,1,0,3,36468.3,5.59,1.034364317,1.934565419,0,0.316094375,0.316094375,3248.994
1,1,1,1,3,45194.49,6.93,1.281868576,2.39747116,0,0.391729915,0.391729915,4026.42
1,1,1,1,2,918400,62.93,9.248106428,16.61343029,27.66239082,11.3855483,11.3855483,25200
0,1,1,1,2,352387,16.88,3.548467421,6.374517488,10.61396659,4.368596701,4.368596701,4273.29
1,1,0,1,3,15000,2.53,0.425450727,0.79571796,0,0.130014715,0.130014715,1562
1,0,1,1,3,38666,5.375,0.12,0.12,0,0.335143264,0.335143264,240
0,1,1,1,2,48000,4.73,0.15,0.15,1.445769555,0.5950635,0.5950635,1380
